word_base,word_phonetic,word_audio_url,word_pos1,word_def1,word_syn1,word_ant1,word_pos2,word_def2,word_syn2,word_ant2,word_pos3,word_def3,word_syn3,word_ant3,word_source_url,word_pos4,word_def4,word_syn4,word_ant4,word_pos5,word_def5,word_syn5,word_ant5
cathartic,,https://api.dictionaryapi.dev/media/pronunciations/en/cathartic-us.mp3,noun,A laxative.;;;,,,adjective,"Purgative; inducing (mental or physical) catharsis;;;That releases emotional tension, especially after an overwhelming experience;;;",,,,,,,https://en.wiktionary.org/wiki/cathartic,,,,,,,,
fledgling,/ˈflɛd͡ʒ.lɪŋ/,https://api.dictionaryapi.dev/media/pronunciations/en/fledgling-us.mp3,noun,"A young bird which has just developed its flight feathers (notably wings).;;;An insect that has just fledged, i.e. undergone its final moult to become an adult or imago.;;;An immature, naïve or inexperienced person.;;;",,,adjective,Untried or inexperienced.;;;Emergent or rising.;;;,"emerging,nascent,unfledged,virginal,","emerging,nascent,unfledged,virginal,",,,,,https://en.wiktionary.org/wiki/fledgling,,,,,,,,
goad,/ɡəʊd/,,noun,"A long, pointed stick used to prod animals.;;;That which goads or incites; a stimulus.;;;",,,verb,To prod with a goad.;;;To encourage or stimulate.;;;To incite or provoke.;;;,,,,,,,https://en.wiktionary.org/wiki/goad,,,,,,,,
incontrovertible,/ˌɪŋ.kɒn.tɹəˈvɜː.təbl̩/,https://api.dictionaryapi.dev/media/pronunciations/en/incontrovertible-uk.mp3,adjective,"Not capable of being denied, challenged, or disputed; closed to questioning.;;;","indisputable,undeniable,unquestionable,","indisputable,undeniable,unquestionable,",,,,,,,,,https://en.wiktionary.org/wiki/incontrovertible,,,,,,,,
itinerant,/aɪˈtɪnɚənt/,https://api.dictionaryapi.dev/media/pronunciations/en/itinerant-uk.mp3,noun,"One who travels from place to place.;;;A member of the Travelling Community, whether settled or not.;;;",,,adjective,Habitually travelling from place to place.;;;,,,,,,,https://en.wiktionary.org/wiki/itinerant,,,,,,,,
magnanimous,,https://api.dictionaryapi.dev/media/pronunciations/en/magnanimous-au.mp3,adjective,Noble and generous in spirit.;;;,"big-hearted,generous,great-hearted,large-hearted,unselfish,","big-hearted,generous,great-hearted,large-hearted,unselfish,",,,,,,,,,https://en.wiktionary.org/wiki/magnanimous,,,,,,,,
meritorious,/ˌmɛɹɪˈtoʊɹi.əs/,,adjective,Deserving of merit or commendation; deserving reward.;;;,"meedful,meritious,","meedful,meritious,",,,,,,,,,https://en.wiktionary.org/wiki/meritorious,,,,,,,,
supple,,https://api.dictionaryapi.dev/media/pronunciations/en/supple-au.mp3,verb,"To make or become supple.;;;To make compliant, submissive, or obedient.;;;",,,adjective,"Pliant, flexible, easy to bend;;;Lithe and agile when moving and bending;;;Compliant; yielding to the will of others;;;",,,,,,,https://en.wiktionary.org/wiki/supple,,,,,,,,
abrogate,,,verb,"To annul by an authoritative act; to abolish by the authority of the maker or her or his successor; to repeal; — applied to the repeal of laws, decrees, ordinances, the abolition of customs, etc.;;;To put an end to; to do away with.;;;To block a process or function.;;;","abolish,annul,countermand,invalidate,nullify,overrule,overturn,quash,repeal,rescind,retract,reverse,revoke,set aside,supersede,suspend,undo,veto,void,waive,withdraw,abjure,annihilate,cancel,dissolve,do away with,end,obliterate,obviate,recant,subvert,terminate,vitiate,wipe out,","abolish,annul,countermand,invalidate,nullify,overrule,overturn,quash,repeal,rescind,retract,reverse,revoke,set aside,supersede,suspend,undo,veto,void,waive,withdraw,abjure,annihilate,cancel,dissolve,do away with,end,obliterate,obviate,recant,subvert,terminate,vitiate,wipe out,",adjective,Abrogated; abolished.;;;,,,,,,,https://en.wiktionary.org/wiki/abrogate,,,,,,,,
beguile,/bɪˈɡaɪl/,,verb,"To deceive or delude (using guile).;;;To charm, delight or captivate.;;;To cause (time) to seem to pass quickly, by way of pleasant diversion.;;;",,,,,,,,,,,https://en.wiktionary.org/wiki/beguile,,,,,,,,
coddle,/ˈkɒdəl/,,noun,An Irish dish comprising layers of roughly sliced pork sausages and bacon rashers with sliced potatoes and onions.;;;An effeminate person.;;;,,,verb,To treat gently or with great care.;;;To cook slowly in hot water that is below the boiling point.;;;To exercise excessive or damaging authority in an attempt to protect. To overprotect.;;;,"simmer,cosset,pamper,posset,spoil,","simmer,cosset,pamper,posset,spoil,",,,,,https://en.wiktionary.org/wiki/coddle,,,,,,,,
extenuating,,,verb,"To lessen; to palliate; to lessen or weaken the force of; to diminish the conception of, as crime, guilt, faults, ills, accusations, etc.;;;To make thin or slender; to draw out so as to lessen the thickness.;;;To become thinner.;;;To lower or degrade; to detract from.;;;","mitigate,","mitigate,",adjective,That lessens the seriousness of something by providing an excuse.;;;,,,,,,,https://en.wiktionary.org/wiki/extenuate,,,,,,,,
frenetic,,https://api.dictionaryapi.dev/media/pronunciations/en/frenetic-au.mp3,noun,One who is frenetic.;;;,,,adjective,"Fast, harried; having extreme enthusiasm or energy.;;;Mentally deranged, insane.;;;Characterised by manifestations of delirium or madness.;;;","frantic,frenzied,","frantic,frenzied,",,,,,https://en.wiktionary.org/wiki/frenetic,,,,,,,,
hapless,/ˈhæplɪs/,https://api.dictionaryapi.dev/media/pronunciations/en/hapless-au.mp3,adjective,Very unlucky; ill-fated.;;;Devoid of talent or skill.;;;,,,,,,,,,,,https://en.wiktionary.org/wiki/hapless,,,,,,,,
ossify,/ˈɒs.ɪ.faɪ/,,verb,To transform (or cause to transform) from a softer animal substance into bone; particularly the processes of growth in humans and animals.;;;(animate) To become (or cause to become) inflexible and rigid in habits or opinions.;;;(inanimate) To grow (or cause to grow) formulaic and permanent.;;;To calcify.;;;,"harden,","harden,",,,,,,,,,https://en.wiktionary.org/wiki/ossify,,,,,,,,
pastiche,/pæsˈtiːʃ/,https://api.dictionaryapi.dev/media/pronunciations/en/pastiche-us.mp3,noun,"A work of art, drama, literature, music, or architecture that imitates the work of a previous artist.;;;A musical medley, typically quoting other works.;;;An incongruous mixture; a hodgepodge.;;;A postmodern playwriting technique that fuses a variety of styles, genres, and story lines to create a new form.;;;",,,verb,To create or compose in a mixture of styles.;;;,,,,,,,https://en.wiktionary.org/wiki/pastiche,,,,,,,,
perspicacious,/ˌpɜː.spɪˈkeɪ.ʃəs/,,adjective,Of acute discernment; having keen insight; mentally perceptive.;;;Able to physically see clearly; quick-sighted; sharp-sighted.;;;,,,,,,,,,,,https://en.wiktionary.org/wiki/perspicacious,,,,,,,,
ponderous,/ˈpɒn.dəɹ.əs/,,adjective,"Heavy, massive, weighty.;;;(by extension) Serious, onerous, oppressive.;;;Clumsy, unwieldy, or slow, especially due to weight.;;;Dull, boring, tedious; long-winded in expression.;;;Characterized by or associated with pondering.;;;Dense.;;;","heavy,massive,oppressive,serious,","heavy,massive,oppressive,serious,",,,,,,,,,https://en.wiktionary.org/wiki/ponderous,,,,,,,,
sinecure,/ˈsaɪ.nɪ.kjʊə/,https://api.dictionaryapi.dev/media/pronunciations/en/sinecure-uk.mp3,noun,A position that requires no work but still gives an ample payment; a cushy job.;;;An ecclesiastical benefice without the care of souls.;;;,,,verb,To put or place in a sinecure.;;;,,,,,,,https://en.wiktionary.org/wiki/sinecure,,,,,,,,
sinuous,/ˈsɪn.ju.əs/,https://api.dictionaryapi.dev/media/pronunciations/en/sinuous-au.mp3,adjective,Having curves in alternate directions; meandering.;;;Moving gracefully and in a supple manner.;;;Morally crooked; shifty.;;;,"anfractuous,flexuous,serpentine,winding,windy,fluid,","anfractuous,flexuous,serpentine,winding,windy,fluid,",,,,,,,,,https://en.wiktionary.org/wiki/sinuous,,,,,,,,
sordid,/ˈsɔː.dɪd/,,adjective,"Distasteful, ignoble, vile, or contemptible.;;;Dirty or squalid.;;;Morally degrading.;;;Grasping; stingy; avaricious.;;;Of a dull colour.;;;",,,,,,,,,,,https://en.wiktionary.org/wiki/sordid,,,,,,,,
stanch,/stɑːnt͡ʃ/,,noun,"That which stanches or checks a flow.;;;A floodgate by which water is accumulated, for floating a boat over a shallow part of a stream by its release.;;;",,,verb,"To stop the flow of.;;;To cease, as the flowing of blood.;;;To prop; to make stanch, or strong.;;;To extinguish; to quench, as fire or thirst.;;;",,,adjective,Strong and tight; sound; firm.;;;Firm in principle; constant and zealous; loyal; hearty; steadfast.;;;Close; secret; private.;;;,,,https://en.wiktionary.org/wiki/stanch,,,,,,,,
surfeit,/ˈsɜː.fɪt/,,noun,An excessive amount of something.;;;Overindulgence in either food or drink; overeating.;;;A sickness or condition caused by overindulgence.;;;Disgust caused by excess; satiety.;;;,"nausea,excess,glut,overabundance,superfluity,surplus,ug,gluttony,overeating,overindulgence,","nausea,excess,glut,overabundance,superfluity,surplus,ug,gluttony,overeating,overindulgence,",verb,"To fill (something) to excess.;;;To feed (someone) to excess (on, upon or with something).;;;To make (someone) sick as a result of overconsumption.;;;To supply (someone) with something to excess; to disgust (someone) through overabundance.;;;To satisfy (someone's appetite) to excess (both literally and figuratively).;;;To overeat or feed to excess (on or upon something).;;;To indulge (in something) to excess.;;;To become sick from overindulgence (both literally and figuratively).;;;","cloy,glut,glut,glut,indulge,overfeed,overindulge,glut,overfeed,stuff,stuff,","cloy,glut,glut,glut,indulge,overfeed,overindulge,glut,overfeed,stuff,stuff,",,,,,https://en.wiktionary.org/wiki/surfeit,,,,,,,,
voluble,/ˈvɒl.jʊ.bəl/,,adjective,"(of a person or a manner of speaking) Fluent or having a ready flow of speech; garrulous or loquacious; tonguey.;;;(of thoughts, feelings, or something that is expressed) Expressed readily or at length and in a fluent manner.;;;Easily rolling or turning; having a fluid, undulating motion.;;;Twisting and turning like a vine.;;;","steady,","steady,",,,,,,,,,https://en.wiktionary.org/wiki/voluble,,,,,,,,
castigate,,https://api.dictionaryapi.dev/media/pronunciations/en/castigate-au.mp3,verb,"To punish or reprimand someone severely.;;;To execrate or condemn something in a harsh manner, especially by public criticism.;;;To revise or make corrections to a publication.;;;","condemn,lambaste,chastise,punish,rebuke,reprimand,correct,revise,","condemn,lambaste,chastise,punish,rebuke,reprimand,correct,revise,",,,,,,,,,https://en.wiktionary.org/wiki/castigate,,,,,,,,
decorum,/dɪˈkɔːɹəm/,,noun,Appropriate social behavior.;;;A convention of social behavior.;;;,"courtesy,decency,etiquette,propriety,","courtesy,decency,etiquette,propriety,",,,,,,,,,https://en.wiktionary.org/wiki/decorum,,,,,,,,
demur,/dɪˈmɜː/,,noun,Stop; pause; hesitation as to proceeding; suspense of decision or action; scruple.;;;,,,verb,To linger; to stay; to tarry;;;To delay; to pause; to suspend proceedings or judgment in view of a doubt or difficulty; to hesitate; to put off the determination or conclusion of an affair.;;;To scruple or object; to take exception; to oppose; to balk;;;To interpose a demurrer.;;;To suspend judgment concerning; to doubt of or hesitate about;;;To cause delay to; to put off;;;,,,,,,,https://en.wiktionary.org/wiki/demur,,,,,,,,
ingenuous,/ɪnˈdʒɛn.ju.əs/,,adjective,"Naive and trusting.;;;Demonstrating childlike simplicity.;;;Unsophisticated; clumsy or obvious.;;;Unable to mask one's feelings.;;;Straightforward, candid, open, and frank.;;;",,,,,,,,,,,https://en.wiktionary.org/wiki/ingenuous,,,,,,,,
acrimonious,,https://api.dictionaryapi.dev/media/pronunciations/en/acrimonious-au.mp3,adjective,"Harsh and sharp, or bitter and not pleasant to the taste; acrid, pungent.;;;Angry, acid, and sharp in delivering argumentative replies: bitter, mean-spirited, sharp in language or tone.;;;","acerb,acerbic,bitter,rancorous,","acerb,acerbic,bitter,rancorous,",,,,,,,,,https://en.wiktionary.org/wiki/acrimonious,,,,,,,,
belligerent,,https://api.dictionaryapi.dev/media/pronunciations/en/belligerent-au.mp3,noun,A state or other armed participant in warfare;;;,,,adjective,"Engaged in warfare, warring.;;;Eager to go to war, warlike.;;;Of or pertaining to war.;;;(by extension) Aggressively hostile, eager to fight.;;;Acting violently towards others.;;;Uncooperative.;;;","aggressive,antagonistic,bellicose,combative,contentious,pugnacious,quarrelsome,truculent,","aggressive,antagonistic,bellicose,combative,contentious,pugnacious,quarrelsome,truculent,",,,,,https://en.wiktionary.org/wiki/belligerent,,,,,,,,
beneficent,/bəˈnɛf.ə.sənt/,https://api.dictionaryapi.dev/media/pronunciations/en/beneficent-us.mp3,adjective,"Given to acts that are kind, charitable, philanthropic or beneficial.;;;","beneficient,generous,","beneficient,generous,",,,,,,,,,https://en.wiktionary.org/wiki/beneficent,,,,,,,,
canny,/ˈkæni/,,adjective,"Careful, prudent, cautious.;;;Knowing, shrewd, astute.;;;Frugal, thrifty.;;;Pleasant, fair, favorable or agreeable to deal with.;;;Gentle, quiet, steady.;;;",,,adverb,"Very, considerably; quite, rather.;;;Gently, quietly; carefully, skilfully.;;;",,,adjective,(especially of sound) Sounding as if it is coming through a tin can.;;;,,,https://en.wiktionary.org/wiki/canny,,,,,,,,
laconic,,https://api.dictionaryapi.dev/media/pronunciations/en/laconic-au.mp3,adjective,Using as few words as possible; pithy and concise.;;;,"concise,pithy,terse,","concise,pithy,terse,",,,,,,,,,https://en.wiktionary.org/wiki/laconic,,,,,,,,
magisterial,/madʒɪˈstɪəɹɪəl/,,adjective,"Befitting the status or skill of a magister or master; authoritative, masterly.;;;Of or pertaining to a master, magistrate, the magisterium, or one in authority.;;;Pertaining to, produced by, or of the nature of, magistery.;;;",,,,,,,,,,,https://en.wiktionary.org/wiki/magisterial,,,,,,,,
onerous,/ˈɒnəɹəs/,,adjective,"Imposing or constituting a physical, mental, or figurative load which can be borne only with effort; burdensome.;;;","demanding,difficult,taxing,wearing,","demanding,difficult,taxing,wearing,",,,,,,,,,https://en.wiktionary.org/wiki/onerous,,,,,,,,
tempestuous,,,adjective,"Of, or resembling a tempest; stormy, tumultuous.;;;","blustery,stormy,tumultuous,windy,","blustery,stormy,tumultuous,windy,",,,,,,,,,https://en.wiktionary.org/wiki/tempestuous,,,,,,,,
tenable,/ˈtɛn.ə.bəl/,,adjective,"(of a theory, argument, etc.) capable of being maintained or justified; well-founded;;;Capable of being defended against assault or attack; defensible;;;Fit for habitation, similar, or related use.;;;",,,,,,,,,,,https://en.wiktionary.org/wiki/tenable,,,,,,,,
urbane,/ɜːˈbeɪn/,,adjective,"(of a man) Courteous, polite, refined, and suave.;;;",,,,,,,,,,,https://en.wiktionary.org/wiki/urbane,,,,,,,,
vitiate,/ˈvɪʃ.i.eɪt/,,verb,"To spoil, make faulty; to reduce the value, quality, or effectiveness of something;;;To debase or morally corrupt;;;To violate, to rape;;;To make something ineffective, to invalidate;;;",,,,,,,,,,,https://en.wiktionary.org/wiki/vitiate,,,,,,,,
arresting,,,verb,"To stop the motion of (a person or animal).;;;To stay, remain.;;;To stop or slow (a process, course etc.).;;;To seize (someone) with the authority of the law; to take into legal custody.;;;To catch the attention of.;;;To undergo cardiac arrest.;;;","attract,dazzle,engage,entice,apprehend,seize,cease,discontinue,freeze,halt,","attract,dazzle,engage,entice,apprehend,seize,cease,discontinue,freeze,halt,",adjective,"Striking, gripping;;;",,,,,,,https://en.wiktionary.org/wiki/arrest,,,,,,,,
embellish,/ɛm-/,https://api.dictionaryapi.dev/media/pronunciations/en/embellish-us.mp3,verb,"To make more beautiful and attractive; to decorate.;;;To make something sound or look better or more acceptable than it is in reality; to distort, to embroider.;;;","adorn,beautify,deck,decorate,grace,ornament,prettify,","adorn,beautify,deck,decorate,grace,ornament,prettify,",,,,,,,,,https://en.wiktionary.org/wiki/embellish,,,,,,,,
falter,/ˈfɒltə(r)/,https://api.dictionaryapi.dev/media/pronunciations/en/falter-uk.mp3,noun,Unsteadiness.;;;,,,verb,"To waver or be unsteady; to weaken or trail off.;;;To stammer; to utter with hesitation, or in a weak and trembling manner.;;;To fail in distinctness or regularity of exercise; said of the mind or of thought.;;;To stumble.;;;To lose faith or vigor; to doubt or abandon (a cause).;;;To hesitate in purpose or action.;;;To cleanse or sift, as barley.;;;",,,,,,,https://en.wiktionary.org/wiki/falter,,,,,,,,
fervent,/ˈfɜː.vənt/,,adjective,"Exhibiting particular enthusiasm, zeal, conviction, persistence, or belief.;;;Having or showing emotional warmth, fervor, or passion.;;;Glowing, burning, very hot.;;;",,,,,,,,,,,https://en.wiktionary.org/wiki/fervent,,,,,,,,
foment,/fəʊˈmɛnt/,,noun,Fomentation.;;;,,,verb,To incite or cause troublesome acts; to encourage; to instigate.;;;To apply a poultice to; to bathe with a cloth or sponge.;;;,"beath,","beath,",,,,,https://en.wiktionary.org/wiki/foment,,,,,,,,
gaffe,/ɡæf/,https://api.dictionaryapi.dev/media/pronunciations/en/gaffe-us.mp3,noun,"A foolish and embarrassing error, especially one made in public.;;;","blooper,blunder,error,mistake,slip,slip-up,","blooper,blunder,error,mistake,slip,slip-up,",,,,,,,,,https://en.wiktionary.org/wiki/gaffe,,,,,,,,
heterodox,/ˈhɛtɛɹədɒks/,,adjective,"Of or pertaining to creeds, beliefs, or teachings, especially religious ones, that are different from orthodoxy, or the norm, but not sufficiently different to be called heretical.;;;",,,,,,,,,,,https://en.wiktionary.org/wiki/heterodox,,,,,,,,
histrionic,,https://api.dictionaryapi.dev/media/pronunciations/en/histrionic-au.mp3,adjective,"Of or relating to actors or acting.;;;(by extension) Excessively dramatic or emotional, especially with the intention to draw attention.;;;","actorish,actressy,dramatic,theatrical,melodramatic,overdramatic,sensationalized,stagy,","actorish,actressy,dramatic,theatrical,melodramatic,overdramatic,sensationalized,stagy,",,,,,,,,,https://en.wiktionary.org/wiki/histrionic,,,,,,,,
inviolate,/ɪnˈvaɪ.ə.lət/,,adjective,Not violated; free from violation or hurt of any kind; secure against violation or impairment.;;;Incorruptible.;;;,,,,,,,,,,,https://en.wiktionary.org/wiki/inviolate,,,,,,,,
phlegmatic,/flɛɡˈmætɪk/,https://api.dictionaryapi.dev/media/pronunciations/en/phlegmatic-us.mp3,noun,One who has a phlegmatic disposition.;;;,,,adjective,"Not easily excited to action or passion; calm; sluggish.;;;Abounding in phlegm.;;;Generating, causing, or full of phlegm.;;;","apathetic,cold-blooded,sluggish,stoic,unflappable,","apathetic,cold-blooded,sluggish,stoic,unflappable,",,,,,https://en.wiktionary.org/wiki/phlegmatic,,,,,,,,
prodigious,/pɹəˈdɪd͡ʒəs/,https://api.dictionaryapi.dev/media/pronunciations/en/prodigious-us.mp3,adjective,"Very big in size or quantity; gigantic; colossal; huge.;;;Extraordinarily exciting or amazing.;;;Ominous, portentous.;;;Monstrous; freakish.;;;","amazing,colossal,enormous,gigantic,huge,ominous,portentous,","amazing,colossal,enormous,gigantic,huge,ominous,portentous,",,,,,,,,,https://en.wiktionary.org/wiki/prodigious,,,,,,,,
propensity,/pɹəˈpɛnsɪti/,https://api.dictionaryapi.dev/media/pronunciations/en/propensity.mp3,noun,"An inclination, disposition, tendency, preference, or attraction.;;;","predilection,proclivity,propension,","predilection,proclivity,propension,",,,,,,,,,https://en.wiktionary.org/wiki/propensity,,,,,,,,
qualm,/kwɑːm/,https://api.dictionaryapi.dev/media/pronunciations/en/qualm-uk.mp3,noun,"A feeling of apprehension, doubt, fear etc.;;;A sudden sickly feeling; queasiness.;;;A prick of the conscience; a moral scruple, a pang of guilt. (Now often in negative constructions.);;;Mortality; plague; pestilence.;;;A calamity or disaster.;;;","compunction,misgiving,scruple,unease,uneasiness,","compunction,misgiving,scruple,unease,uneasiness,",verb,To have a sickly feeling.;;;,,,,,,,https://en.wiktionary.org/wiki/qualm,,,,,,,,
renege,/ɹɪˈneɪɡ/,,verb,"To break a promise or commitment; to go back on one's word.;;;In a card game, to break one's commitment to follow suit when capable.;;;To deny; to renounce;;;",,,,,,,,,,,https://en.wiktionary.org/wiki/renege,,,,,,,,
stinting,,,verb,"To stop (an action); cease, desist.;;;To stop speaking or talking (of a subject).;;;To be sparing or mean.;;;To restrain within certain limits; to bound; to restrict to a scant allowance.;;;To assign a certain task to (a person), upon the performance of which he/she is excused from further labour for that day or period; to stent.;;;(of mares) To impregnate successfully; to get with foal.;;;",,,noun,Act of one who stints.;;;,,,,,,,https://en.wiktionary.org/wiki/stint,,,,,,,,
vivacious,/vaɪˈveɪʃəs/,https://api.dictionaryapi.dev/media/pronunciations/en/vivacious-au.mp3,adjective,Lively and animated; full of life and energy.;;;Long-lived.;;;Difficult to kill.;;;,"animated,bubbly,ebullient,exciting,high-spirited,lively,vibrant,","animated,bubbly,ebullient,exciting,high-spirited,lively,vibrant,",,,,,,,,,https://en.wiktionary.org/wiki/vivacious,,,,,,,,
abstruse,/əbˈstɹuːs/,https://api.dictionaryapi.dev/media/pronunciations/en/abstruse-uk.mp3,adjective,Difficult to comprehend or understand.;;;Concealed or hidden out of the way; secret.;;;,"clandestine,secret,surreptitious,esoteric,obscure,recondite,esoteric,obscure,recondite,","clandestine,secret,surreptitious,esoteric,obscure,recondite,esoteric,obscure,recondite,",,,,,,,,,https://en.wiktionary.org/wiki/abstruse,,,,,,,,
